date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月社会融资规模:当月值(亿元),重要,21955.77,18109.09,25142.21,credit
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月社会融资规模存量:同比(%),重要,10.68,10.5,10.67,credit
2019-10-18 00:00:00,10:00,2019-10-18 10:00:00,中国,第三季度GDP:当季同比(%),重要,6.1,6.08,6.0,growth
2019-10-31 00:00:00,09:00,2019-10-31 09:00:00,中国,10月官方制造业PMI(%),重要,49.8,49.85,49.3,pmi
2019-11-09 00:00:00,09:30,2019-11-09 09:30:00,中国,10月PPI:同比(%),重要,-1.2,-1.58,-1.6,inflation
2019-11-09 00:00:00,09:30,2019-11-09 09:30:00,中国,10月CPI:同比(%),重要,3.0,3.35,3.8,inflation
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月新增人民币贷款(亿元),重要,16900.0,8178.57,6613.0,credit
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月M1:同比(%),重要,3.4,3.7,3.3,credit
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月M0:同比(%),重要,4.0,,4.7,credit
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月M2:同比(%),重要,8.4,8.41,8.4,credit
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月社会融资规模:当月值(亿元),重要,25142.21,9791.67,8680.0,credit
2019-11-11 00:00:00,17:00,2019-11-11 17:00:00,中国,10月社会融资规模存量:同比(%),重要,10.67,10.8,10.58,credit
